,R²,RMSE
Linear Regression,0.02950198323323172,0.7195235953992725
Random Forest,-0.08053758410272938,0.7592200224765479
Gradient Boosting,0.045971885569239146,0.7133921084236564
Ridge Regression,0.029488060034977503,0.7195287566842847
Lasso Regression,0.0008872997630736679,0.7300539482134608
